Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
NA,"Rate per 100,000 inhabitants",NA,202.8,1.8,25,27.7,148.3,1853.8,369,1421.4,63.4
"Cape Coral-Fort Myers, FL M.S.A.",NA,720949,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lee County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Cape Coral,179631,224,5,16,31,172,3081,632,2286,163
NA,City of Fort Myers,76579,947,15,55,161,716,2163,354,1589,220
NA,Total area actually reporting,1,2562,41,249,445,1827,11637,2459,8359,819
NA,"Rate per 100,000 inhabitants",NA,355.4,5.7,34.5,61.7,253.4,1614.1,341.1,1159.4,113.6
"Cape Girardeau, MO-IL M.S.A.",NA,97631,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Cape Girardeau, MO",39738,236,5,10,54,167,1628,227,1332,69
NA,Total area actually reporting,1,469,6,21,72,370,2342,396,1841,105
NA,"Rate per 100,000 inhabitants",NA,480.4,6.1,21.5,73.7,379,2398.8,405.6,1885.7,107.5
"Carson City, NV M.S.A.",NA,54605,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Carson City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,157,1,3,20,133,995,211,698,86
NA,"Rate per 100,000 inhabitants",NA,287.5,1.8,5.5,36.6,243.6,1822.2,386.4,1278.3,157.5
"Casper, WY M.S.A.",NA,82870,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Natrona County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Casper,61343,70,0,2,7,61,1669,255,1297,117
NA,Total area actually reporting,1,168,0,23,12,133,2081,389,1535,157
NA,"Rate per 100,000 inhabitants",NA,202.7,0,27.8,14.5,160.5,2511.2,469.4,1852.3,189.5
"Cedar Rapids, IA M.S.A.4",NA,267187,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Benton, Jones, and Linn Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Cedar Rapids,131181,387,4,67,100,216,5019,995,3670,354
NA,Total area actually reporting,0.949,566,5,96,114,351,NA,NA,4512,456
NA,Estimated total,1,589,5,100,115,369,NA,NA,4587,468
NA,"Rate per 100,000 inhabitants",NA,220.4,1.9,37.4,43,138.1,NA,NA,1716.8,175.2
"Chambersburg-Waynesboro, PA M.S.A.",NA,153940,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Franklin County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Chambersburg,20770,87,2,14,27,44,630,83,527,20
NA,City of Waynesboro,10902,29,6,6,6,11,266,43,211,12
NA,Total area actually reporting,1,221,13,52,56,100,2281,444,1763,74
NA,"Rate per 100,000 inhabitants",NA,143.6,8.4,33.8,36.4,65,1481.7,288.4,1145.3,48.1
"Champaign-Urbana, IL M.S.A.",NA,239184,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Champaign, Ford, and Piatt Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Champaign,87071,625,3,41,124,457,2838,728,1979,131
NA,City of Urbana,42461,162,4,25,54,79,1543,327,1185,31
NA,Total area actually reporting,0.99,1048,11,125,214,698,6108,1506,4367,235
NA,Estimated total,1,1053,11,126,215,701,6147,1512,4398,237
NA,"Rate per 100,000 inhabitants",NA,440.2,4.6,52.7,89.9,293.1,2570,632.1,1838.8,99.1
"Charleston, WV M.S.A.",NA,218036,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Boone, Clay, and Kanawha Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Charleston,49429,767,13,36,152,566,3939,947,2694,298
NA,Total area actually reporting,0.916,1293,17,90,205,981,8585,2061,5708,816
NA,Estimated total,1,1341,17,96,210,1018,9056,2157,6052,847
NA,"Rate per 100,000 inhabitants",NA,615,7.8,44,96.3,466.9,4153.4,989.3,2775.7,388.5
"Charleston-North Charleston, SC M.S.A.",NA,762454,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Berkeley, Charleston, and Dorchester Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Charleston,135153,408,11,44,107,246,3359,417,2681,261
NA,City of North Charleston,110490,993,32,89,293,579,6218,918,4655,645
NA,Total area actually reporting,0.995,3170,72,250,667,2181,21566,3651,15963,1952
NA,Estimated total,1,3188,72,252,670,2194,21699,3670,16068,1961
NA,"Rate per 100,000 inhabitants",NA,418.1,9.4,33.1,87.9,287.8,2845.9,481.3,2107.4,257.2
"Charlottesville, VA M.S.A.",NA,230398,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Charlottesville,46979,245,1,36,43,165,1228,170,983,75
NA,Total area actually reporting,1,457,3,89,80,285,3369,446,2738,185
NA,"Rate per 100,000 inhabitants",NA,198.4,1.3,38.6,34.7,123.7,1462.3,193.6,1188.4,80.3
"Chattanooga, TN-GA M.S.A.",NA,551407,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Chattanooga, TN",177801,1819,26,111,375,1307,9752,1570,7122,1060
NA,Total area actually reporting,0.975,2938,32,208,493,2205,17576,3081,12685,1810
NA,Estimated total,1,2982,33,211,506,2232,17926,3160,12921,1845
NA,"Rate per 100,000 inhabitants",NA,540.8,6,38.3,91.8,404.8,3251,573.1,2343.3,334.6
"Cheyenne, WY M.S.A.",NA,97275,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Laramie County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Cheyenne,64046,172,5,26,15,126,2427,356,1873,198
NA,Total area actually reporting,1,245,8,36,18,183,2939,477,2204,258
NA,"Rate per 100,000 inhabitants",NA,251.9,8.2,37,18.5,188.1,3021.3,490.4,2265.7,265.2
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",NA,9523022,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Chicago, IL",2725153,30126,765,1589,11957,15815,86960,14258,61229,11473
NA,"City of Naperville, IL",148070,92,0,15,34,43,1587,141,1401,45
NA,"City of Elgin, IL",112886,236,2,34,63,137,1565,218,1279,68
NA,"City of Gary, IN",76556,460,46,32,212,170,3617,990,2229,398
NA,"City of Arlington Heights, IL",76077,58,0,8,14,36,722,79,624,19
NA,"City of Evanston, IL",75716,130,2,6,38,84,1671,329,1269,73
NA,"City of Schaumburg, IL",74774,74,0,23,21,30,1685,108,1526,51
NA,"City of Skokie, IL",64819,158,1,15,45,97,1557,228,1283,46
NA,"City of Des Plaines, IL",58726,45,0,6,11,28,537,91,423,23
NA,"City of Hoffman Estates, IL",52177,55,0,11,15,29,429,52,353,24
NA,Total area actually reporting,0.969,41539,958,3088,15723,21770,192468,30652,144323,17493
NA,Estimated total,1,42187,967,3162,15887,22171,198228,31492,148887,17849
NA,"Rate per 100,000 inhabitants",NA,443,10.2,33.2,166.8,232.8,2081.6,330.7,1563.4,187.4
"Chicago-Naperville-Arlington Heights, IL M.D.2",NA,7318619,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Cook, DuPage, Grundy, Kendall, McHenry, and Will Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.98,37221,867,2546,14474,19334,156027,24872,115796,15359
NA,Estimated total,1,37530,871,2588,14561,19510,158528,25263,117778,15487
NA,"Rate per 100,000 inhabitants",NA,512.8,11.9,35.4,199,266.6,2166.1,345.2,1609.3,211.6
"Elgin, IL M.D.",NA,634927,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes DeKalb and Kane Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.983,1202,14,215,218,755,8755,1214,7232,309
NA,Estimated total,1,1225,14,218,225,768,8943,1243,7381,319
NA,"Rate per 100,000 inhabitants",NA,192.9,2.2,34.3,35.4,121,1408.5,195.8,1162.5,50.2
"Gary, IN M.D.",NA,700547,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Jasper, Lake, Newton, and Porter Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.846,1652,70,135,605,842,15338,2597,11388,1353
NA,Estimated total,1,1908,74,156,658,1020,17918,2940,13432,1546
NA,"Rate per 100,000 inhabitants",NA,272.4,10.6,22.3,93.9,145.6,2557.7,419.7,1917.4,220.7
"Lake County-Kenosha County, IL-WI M.D.",NA,868929,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Lake County, IL and Kenosha County, WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.967,1464,7,192,426,839,12348,1969,9907,472
NA,Estimated total,1,1524,8,200,443,873,12839,2046,10296,497
NA,"Rate per 100,000 inhabitants",NA,175.4,0.9,23,51,100.5,1477.6,235.5,1184.9,57.2
"Chico, CA M.S.A.",NA,224973,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Butte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Chico,91122,293,0,66,57,170,3290,499,2336,455
NA,Total area actually reporting,1,790,4,133,138,515,7307,1755,4531,1021
NA,"Rate per 100,000 inhabitants",NA,351.2,1.8,59.1,61.3,228.9,3247.9,780.1,2014,453.8
"Cincinnati, OH-KY-IN M.S.A.",NA,2163182,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Dearborn, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Cincinnati, OH",298880,2720,57,249,1278,1136,15382,3929,10216,1237
NA,Total area actually reporting,0.942,5377,98,856,2164,2259,54312,10956,40542,2814
NA,Estimated total,1,5566,101,889,2213,2363,56602,11377,42278,2947
NA,"Rate per 100,000 inhabitants",NA,257.3,4.7,41.1,102.3,109.2,2616.6,525.9,1954.4,136.2
"Clarksville, TN-KY M.S.A.",NA,285097,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Christian and Trigg Counties, KY and Montgomery County, TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Clarksville, TN",152526,935,12,74,131,718,3853,711,2960,182
NA,Total area actually reporting,1,1219,19,115,202,883,6311,1283,4689,339
NA,"Rate per 100,000 inhabitants",NA,427.6,6.7,40.3,70.9,309.7,2213.6,450,1644.7,118.9
"Cleveland, TN M.S.A.",NA,121862,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Bradley and Polk Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Cleveland,44423,384,2,14,50,318,2704,406,2044,254
NA,Total area actually reporting,1,624,3,24,64,533,4102,811,2867,424
NA,"Rate per 100,000 inhabitants",NA,512.1,2.5,19.7,52.5,437.4,3366.1,665.5,2352.7,347.9
"Cleveland-Elyria, OH M.S.A.",NA,2055254,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Cleveland,386227,6299,135,488,2980,2696,20533,6333,10001,4199
NA,City of Elyria,53633,161,4,26,71,60,1483,344,1042,97
NA,Total area actually reporting,0.853,8691,181,803,3852,3855,42264,10504,26216,5544
NA,Estimated total,1,9156,189,900,4009,4058,48994,11617,31555,5822
NA,"Rate per 100,000 inhabitants",NA,445.5,9.2,43.8,195.1,197.4,2383.8,565.2,1535.3,283.3
"Coeur d'Alene, ID M.S.A.",NA,153701,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Kootenai County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Coeur d'Alene,50155,173,1,48,13,111,1418,200,1129,89
NA,Total area actually reporting,1,356,7,74,27,248,3568,724,2641,203
NA,"Rate per 100,000 inhabitants",NA,231.6,4.6,48.1,17.6,161.4,2321.4,471,1718.3,132.1
"College Station-Bryan, TX M.S.A.",NA,252572,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Brazos, Burleson, and Robertson Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of College Station,110785,245,3,52,50,140,2290,342,1840,108
NA,City of Bryan,83286,420,1,59,96,264,2552,511,1899,142
NA,Total area actually reporting,0.995,833,5,149,162,517,5969,1108,4557,304
NA,Estimated total,1,837,5,150,163,519,6002,1113,4583,306
NA,"Rate per 100,000 inhabitants",NA,331.4,2,59.4,64.5,205.5,2376.4,440.7,1814.5,121.2
"Colorado Springs, CO M.S.A.",NA,707431,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes El Paso and Teller Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Colorado Springs,464113,2301,24,446,437,1394,16526,2677,11776,2073
NA,Total area actually reporting,0.999,2861,32,575,483,1771,20132,3248,14421,2463
NA,Estimated total,1,2862,32,575,483,1772,20150,3250,14435,2465
NA,"Rate per 100,000 inhabitants",NA,404.6,4.5,81.3,68.3,250.5,2848.3,459.4,2040.5,348.4
"Columbia, MO M.S.A.",NA,177168,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Boone County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Columbia,121143,517,6,111,127,273,3245,530,2469,246
NA,Total area actually reporting,1,674,6,132,138,398,4230,693,3217,320
NA,"Rate per 100,000 inhabitants",NA,380.4,3.4,74.5,77.9,224.6,2387.6,391.2,1815.8,180.6
"Columbia, SC M.S.A.",NA,820037,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Calhoun, Fairfield, Kershaw, Lexington, Richland, and Saluda Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Columbia,134489,1116,10,99,286,721,7374,1114,5357,903
NA,Total area actually reporting,1,4834,58,399,849,3528,28907,5013,20633,3261
NA,"Rate per 100,000 inhabitants",NA,589.5,7.1,48.7,103.5,430.2,3525.1,611.3,2516.1,397.7
"Columbus, GA-AL M.S.A.",NA,316990,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Columbus, GA",202338,1218,24,62,523,609,9625,2273,6500,852
NA,Total area actually reporting,0.998,1639,33,123,601,882,12060,2940,7996,1124
NA,Estimated total,1,1643,33,123,602,885,12080,2944,8011,1125
NA,"Rate per 100,000 inhabitants",NA,518.3,10.4,38.8,189.9,279.2,3810.8,928.7,2527.2,354.9
"Columbus, IN M.S.A.",NA,81884,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Bartholomew County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Columbus,47222,34,0,15,17,2,1943,180,1657,106
NA,Total area actually reporting,1,67,0,21,20,26,2511,326,2010,175
NA,"Rate per 100,000 inhabitants",NA,81.8,0,25.6,24.4,31.8,3066.5,398.1,2454.7,213.7
"Columbus, OH M.S.A.2",NA,2043036,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Delaware, Fairfield, Franklin, Hocking, Licking, Madison, Morrow, Perry, Pickaway, and Union Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Columbus,862515,4500,91,867,2144,1398,35106,7756,23800,3550
NA,Total area actually reporting,0.913,5585,104,1166,2489,1826,56162,11472,40424,4266
NA,Estimated total,1,5820,107,1219,2555,1939,59476,12144,42917,4415
NA,"Rate per 100,000 inhabitants",NA,284.9,5.2,59.7,125.1,94.9,2911.2,594.4,2100.6,216.1
"Corpus Christi, TX M.S.A.",NA,456121,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Aransas, Nueces, and San Patricio Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Corpus Christi,327948,2328,24,259,424,1621,12198,2296,9246,656
NA,Total area actually reporting,0.979,2981,35,306,458,2182,16035,3264,11933,838
NA,Estimated total,1,3007,35,310,464,2198,16273,3302,12116,855
NA,"Rate per 100,000 inhabitants",NA,659.3,7.7,68,101.7,481.9,3567.7,723.9,2656.3,187.5
"Corvallis, OR M.S.A.",NA,88515,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Benton County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Corvallis,56061,75,1,25,11,38,1557,207,1283,67
NA,Total area actually reporting,1,113,1,35,14,63,2256,287,1869,100
NA,"Rate per 100,000 inhabitants",NA,127.7,1.1,39.5,15.8,71.2,2548.7,324.2,2111.5,113
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",NA,268298,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Okaloosa and Walton Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Crestview,23749,121,3,20,19,79,897,157,678,62
NA,City of Fort Walton Beach,22314,67,3,12,10,42,611,72,490,49
NA,Total area actually reporting,0.997,1023,14,126,96,787,6303,1184,4759,360
NA,Estimated total,1,1026,14,126,97,789,6328,1188,4778,362
NA,"Rate per 100,000 inhabitants",NA,382.4,5.2,47,36.2,294.1,2358.6,442.8,1780.9,134.9
"Cumberland, MD-WV M.S.A.",NA,98752,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Allegany County, MD and Mineral County, WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Cumberland, MD",19995,177,1,13,53,110,1218,247,949,22
NA,Total area actually reporting,0.947,299,6,23,70,200,2333,457,1821,55
NA,Estimated total,1,314,6,25,72,211,2514,487,1962,65
NA,"Rate per 100,000 inhabitants",NA,318,6.1,25.3,72.9,213.7,2545.8,493.2,1986.8,65.8
"Dallas-Fort Worth-Arlington, TX M.S.A.2",NA,7219989,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Dallas,1320939,10071,171,767,4604,4529,44910,10948,26370,7592
NA,City of Fort Worth,851849,4483,66,499,1165,2753,28124,5316,20422,2386
NA,City of Arlington,392666,2188,21,307,557,1303,12383,2115,9189,1079
NA,City of Plano,288242,399,5,77,109,208,5479,903,4181,395
NA,City of Irving,240765,521,5,37,213,266,6490,1183,4674,633
NA,City of Denton,134054,349,5,95,73,176,3025,543,2313,169
NA,City of Richardson,113216,156,5,16,71,64,2473,389,1874,210
NA,Total area actually reporting,0.998,25941,368,3156,8962,13455,178513,34697,124766,19050
NA,Estimated total,1,25971,368,3160,8970,13473,178781,34740,124971,19070
NA,"Rate per 100,000 inhabitants",NA,359.7,5.1,43.8,124.2,186.6,2476.2,481.2,1730.9,264.1
"Dallas-Plano-Irving, TX M.D.",NA,4791249,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Collin, Dallas, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.998,17064,250,1922,6762,8130,115705,23345,78386,13974
NA,Estimated total,1,17092,250,1926,6769,8147,115952,23385,78575,13992
NA,"Rate per 100,000 inhabitants",NA,356.7,5.2,40.2,141.3,170,2420.1,488.1,1640,292
"Fort Worth-Arlington, TX M.D.2",NA,2428740,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Hood, Johnson, Parker, Somervell, Tarrant, and Wise Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.999,8877,118,1234,2200,5325,62808,11352,46380,5076
NA,Estimated total,1,8879,118,1234,2201,5326,62829,11355,46396,5078
NA,"Rate per 100,000 inhabitants",NA,365.6,4.9,50.8,90.6,219.3,2586.9,467.5,1910.3,209.1
"Dalton, GA M.S.A.",NA,143925,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Murray and Whitfield Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Dalton,33989,113,0,17,22,74,1103,209,834,60
NA,Total area actually reporting,0.996,988,0,158,67,763,4880,1178,3176,526
NA,Estimated total,1,991,0,158,68,765,4905,1182,3195,528
NA,"Rate per 100,000 inhabitants",NA,688.6,0,109.8,47.2,531.5,3408,821.3,2219.9,366.9
"Danville, IL M.S.A.",NA,78439,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Vermilion County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Danville,31931,502,0,47,88,367,1894,646,1185,63
NA,Total area actually reporting,0.984,631,0,74,98,459,2720,913,1711,96
NA,Estimated total,1,634,0,74,99,461,2741,916,1728,97
NA,"Rate per 100,000 inhabitants",NA,808.3,0,94.3,126.2,587.7,3494.4,1167.8,2203,123.7
"Davenport-Moline-Rock Island, IA-IL M.S.A.4",NA,383016,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Henry, Mercer, and Rock Island Counties, IL and Scott County, IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Davenport, IA",103118,750,7,88,155,500,5001,1155,3436,410
NA,"City of Moline, IL",42517,196,0,26,19,151,1459,227,1205,27
NA,"City of Rock Island, IL",38543,158,4,6,23,125,1042,175,782,85
NA,Total area actually reporting,0.986,1496,12,185,238,1061,NA,NA,7660,602
NA,Estimated total,1,1506,12,186,240,1068,NA,NA,7733,607
NA,"Rate per 100,000 inhabitants",NA,393.2,3.1,48.6,62.7,278.8,NA,NA,2019,158.5
"Dayton, OH M.S.A.2",NA,800013,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Greene, Miami, and Montgomery Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Dayton,140260,1402,36,133,496,737,7235,2269,4252,714
NA,Total area actually reporting,0.969,2453,62,443,847,1101,22891,5289,15936,1666
NA,Estimated total,1,2491,63,451,860,1117,23434,5379,16367,1688
NA,"Rate per 100,000 inhabitants",NA,311.4,7.9,56.4,107.5,139.6,2929.2,672.4,2045.8,211
"Decatur, AL M.S.A.",NA,152077,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Lawrence and Morgan Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Decatur,55374,154,5,9,43,97,2600,526,1918,156
NA,Total area actually reporting,0.993,346,5,29,53,259,3812,909,2660,243
NA,Estimated total,1,352,5,29,54,264,3848,916,2686,246
NA,"Rate per 100,000 inhabitants",NA,231.5,3.3,19.1,35.5,173.6,2530.3,602.3,1766.2,161.8
"Decatur, IL M.S.A.",NA,106100,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Macon County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Decatur,72694,392,3,45,97,247,2657,859,1700,98
NA,Total area actually reporting,0.99,434,3,52,103,276,2954,926,1928,100
NA,Estimated total,1,436,3,52,104,277,2973,929,1943,101
NA,"Rate per 100,000 inhabitants",NA,410.9,2.8,49,98,261.1,2802.1,875.6,1831.3,95.2
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",NA,631296,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Flagler and Volusia Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Daytona Beach,65495,814,9,26,94,685,4197,572,3234,391
NA,City of Ormond Beach,41325,202,0,17,40,145,1602,312,1158,132
NA,Total area actually reporting,1,2471,19,168,369,1915,18058,3102,13650,1306
NA,"Rate per 100,000 inhabitants",NA,391.4,3,26.6,58.5,303.3,2860.5,491.4,2162.2,206.9
"Denver-Aurora-Lakewood, CO M.S.A.",NA,2868232,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Denver,699259,4597,57,567,1160,2813,25101,4675,15638,4788
NA,City of Aurora,366477,1939,22,289,576,1052,11213,1698,7977,1538
NA,City of Lakewood,154553,875,4,144,174,553,8455,1014,6429,1012
NA,City of Broomfield,66953,36,0,16,2,18,1610,216,1236,158
NA,Total area actually reporting,0.999,11149,124,1919,2470,6636,84650,12492,58890,13268
NA,Estimated total,1,11156,124,1921,2471,6640,84729,12501,58950,13278
NA,"Rate per 100,000 inhabitants",NA,389,4.3,67,86.2,231.5,2954,435.8,2055.3,462.9
"Des Moines-West Des Moines, IA M.S.A.3",NA,632763,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Des Moines,211501,1497,13,140,318,1026,8881,1944,5920,1017
NA,City of West Des Moines,65631,149,1,24,19,105,1513,147,1296,70
NA,Total area actually reporting,1,2352,25,267,386,1674,NA,3458,NA,1442
NA,"Rate per 100,000 inhabitants",NA,371.7,4,42.2,61,264.6,NA,546.5,NA,227.9
"Detroit-Warren-Dearborn, MI M.S.A.",NA,4302722,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes the Metropolitan Divisions of Detroit-Dearborn-Livonia and Warren-Troy-Farmington Hills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Detroit,669673,13705,303,579,2941,9882,31630,8787,13938,8905
NA,City of Warren,135620,691,6,118,125,442,3521,927,2082,512
NA,City of Dearborn,94646,348,1,30,80,237,2791,297,2167,327
NA,City of Livonia,94226,141,0,18,28,95,1694,295,1250,149
NA,City of Troy,83743,78,1,12,16,49,1336,94,1183,59
NA,City of Farmington Hills,81649,77,0,18,9,50,1050,145,834,71
NA,City of Southfield,73438,195,3,44,52,96,2158,353,1514,291
NA,City of Taylor,61290,372,2,37,83,250,1495,290,1042,163
NA,City of Pontiac,60003,749,15,66,121,547,1425,520,771,134
NA,City of Novi,59441,32,0,6,2,24,661,56,586,19
NA,Total area actually reporting,0.999,23903,389,2141,4653,16720,89693,18887,56067,14739
NA,Estimated total,1,23907,389,2142,4654,16722,89714,18890,56083,14741
NA,"Rate per 100,000 inhabitants",NA,555.6,9,49.8,108.2,388.6,2085.1,439,1303.4,342.6
"Detroit-Dearborn-Livonia, MI M.D.",NA,1747582,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Wayne County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,18073,339,1104,3860,12770,54744,12845,30153,11746
NA,"Rate per 100,000 inhabitants",NA,1034.2,19.4,63.2,220.9,730.7,3132.6,735,1725.4,672.1
